Date,CountryAbbrv,Sales
2021-01-04,GNQ,5
2021-01-04,GNB,8
2021-01-04,LSO,8
2021-01-04,GAB,2
2021-01-04,NAM,15
2021-01-04,BWA,5
2021-01-04,GMB,13
2021-01-04,ERI,9
2021-01-04,MRT,21
2021-01-04,LBR,14
2021-01-04,CAF,26
2021-01-04,COG,33
2021-01-04,LBY,23
2021-01-04,SLE,47
2021-01-04,TGO,24
2021-01-04,SSD,41
2021-01-04,TUN,44
2021-01-04,BDI,58
2021-01-04,BEN,34
2021-01-04,RWA,65
2021-01-04,GIN,45
2021-01-04,ZWE,53
2021-01-04,SEN,63
2021-01-04,SOM,25
2021-01-04,TCD,17
2021-01-04,ZMB,67
2021-01-04,MWI,29
2021-01-04,BFA,74
2021-01-04,MLI,80
2021-01-04,NER,38
2021-01-04,CMR,55
2021-01-04,CIV,247
2021-01-04,MDG,79
2021-01-04,MOZ,242
2021-01-04,GHA,235
2021-01-04,AGO,160
2021-01-04,MAR,159
2021-01-04,DZA,110
2021-01-04,SDN,179
2021-01-04,UGA,99
2021-01-04,KEN,185
2021-01-04,ZAF,92
2021-01-04,TZA,282
2021-01-04,COD,512
2021-01-04,EGY,342
2021-01-04,ETH,761
2021-01-04,NGA,0
2021-01-04,QAT,8
2021-01-04,ARM,14
2021-01-04,MNG,17
2021-01-04,GEO,13
2021-01-04,KWT,17
2021-01-04,OMN,16
2021-01-04,PSE,32
2021-01-04,NZL,18
2021-01-04,LBN,17
2021-01-04,SGP,27
2021-01-04,TKM,24
2021-01-04,KGZ,37
2021-01-04,HKG,25
2021-01-04,LAO,19
2021-01-04,ARE,31
2021-01-04,ISR,13
2021-01-04,AZE,24
2021-01-04,TJK,43
2021-01-04,PNG,20
2021-01-04,JOR,43
2021-01-04,KHM,53
2021-01-04,KAZ,112
2021-01-04,LKA,60
2021-01-04,SYR,81
2021-01-04,PRK,99
2021-01-04,AUS,54
2021-01-04,NPL,23
2021-01-04,MYS,121
2021-01-04,YEM,189
2021-01-04,UZB,0
2021-01-04,SAU,69
2021-01-04,AFG,146
2021-01-04,IRQ,87
2021-01-04,KOR,86
2021-01-04,MMR,201
2021-01-04,THA,282
2021-01-04,TUR,0
2021-01-04,IRN,281
2021-01-04,VNM,331
2021-01-04,PHL,0
2021-01-04,BGD,623
2021-01-04,PAK,562
2021-01-04,IDN,1306
2021-01-04,CHN,4890
2021-01-04,IND,4978
2021-01-04,LVA,0
2021-01-04,SVN,391
2021-01-04,LTU,1105
2021-01-04,HRV,1841
2021-01-04,IRL,3005
2021-01-04,SVK,1742
2021-01-04,FIN,2106
2021-01-04,DNK,1836
2021-01-04,BGR,1551
2021-01-04,AUT,4747
2021-01-04,HUN,2588
2021-01-04,GRC,2039
2021-01-04,PRT,3066
2021-01-04,SWE,2347
2021-01-04,CZE,1857
2021-01-04,BEL,4423
2021-01-04,NLD,2696
2021-01-04,ROU,9066
2021-01-04,POL,10270
2021-01-04,ESP,16949
2021-01-04,ITA,16319
2021-01-04,FRA,20238
2021-01-04,DEU,26396
2021-01-04,JPN,28911
2021-01-04,CAN,2379
2021-01-04,USA,126381
2021-01-04,MKD,167
2021-01-04,MDA,174
2021-01-04,ALB,177
2021-01-04,BIH,51
2021-01-04,NOR,560
2021-01-04,SRB,509
2021-01-04,CHE,617
2021-01-04,BLR,808
2021-01-04,UKR,3510
2021-01-04,GBR,5297
2021-01-04,RUS,8002
2021-01-04,TTO,5
2021-01-04,JAM,123
2021-01-04,PRI,143
2021-01-04,URY,118
2021-01-04,PAN,161
2021-01-04,CRI,153
2021-01-04,SLV,205
2021-01-04,PRY,244
2021-01-04,NIC,263
2021-01-04,HND,289
2021-01-04,CUB,88
2021-01-04,DOM,95
2021-01-04,HTI,248
2021-01-04,BOL,400
2021-01-04,GTM,940
2021-01-04,ECU,473
2021-01-04,CHL,699
2021-01-04,VEN,929
2021-01-04,PER,974
2021-01-04,ARG,1187
2021-01-04,COL,1443
2021-01-04,MEX,1755
2021-01-04,BRA,7239
2021-01-11,GNQ,7
2021-01-11,GNB,12
2021-01-11,LSO,12
2021-01-11,GAB,12
2021-01-11,NAM,11
2021-01-11,BWA,14
2021-01-11,GMB,17
2021-01-11,ERI,27
2021-01-11,MRT,32
2021-01-11,LBR,24
2021-01-11,CAF,0
2021-01-11,COG,24
2021-01-11,LBY,25
2021-01-11,SLE,55
2021-01-11,TGO,36
2021-01-11,SSD,18
2021-01-11,TUN,47
2021-01-11,BDI,43
2021-01-11,BEN,30
2021-01-11,RWA,41
2021-01-11,GIN,51
2021-01-11,ZWE,67
2021-01-11,SEN,55
2021-01-11,SOM,80
2021-01-11,TCD,56
2021-01-11,ZMB,38
2021-01-11,MWI,125
2021-01-11,BFA,91
2021-01-11,MLI,81
2021-01-11,NER,21
2021-01-11,CMR,162
2021-01-11,CIV,89
2021-01-11,MDG,122
2021-01-11,MOZ,84
2021-01-11,GHA,116
2021-01-11,AGO,200
2021-01-11,MAR,205
2021-01-11,DZA,221
2021-01-11,SDN,29
2021-01-11,UGA,183
2021-01-11,KEN,131
2021-01-11,ZAF,156
2021-01-11,TZA,232
2021-01-11,COD,389
2021-01-11,EGY,552
2021-01-11,ETH,668
2021-01-11,NGA,862
2021-01-11,QAT,11
2021-01-11,ARM,5
2021-01-11,MNG,21
2021-01-11,GEO,11
2021-01-11,KWT,21
2021-01-11,OMN,18
2021-01-11,PSE,24
2021-01-11,NZL,18
2021-01-11,LBN,19
2021-01-11,SGP,22
2021-01-11,TKM,25
2021-01-11,KGZ,29
2021-01-11,HKG,43
2021-01-11,LAO,35
2021-01-11,ARE,43
2021-01-11,ISR,34
2021-01-11,AZE,29
2021-01-11,TJK,18
2021-01-11,PNG,24
2021-01-11,JOR,27
2021-01-11,KHM,56
2021-01-11,KAZ,124
2021-01-11,LKA,81
2021-01-11,SYR,94
2021-01-11,PRK,138
2021-01-11,AUS,103
2021-01-11,NPL,133
2021-01-11,MYS,86
2021-01-11,YEM,148
2021-01-11,UZB,181
2021-01-11,SAU,93
2021-01-11,AFG,141
2021-01-11,IRQ,186
2021-01-11,KOR,237
2021-01-11,MMR,196
2021-01-11,THA,111
2021-01-11,TUR,340
2021-01-11,IRN,0
2021-01-11,VNM,434
2021-01-11,PHL,466
2021-01-11,BGD,976
2021-01-11,PAK,1088
2021-01-11,IDN,1361
2021-01-11,CHN,5403
2021-01-11,IND,4740
2021-01-11,LVA,127
2021-01-11,SVN,885
2021-01-11,LTU,2702
2021-01-11,HRV,1364
2021-01-11,IRL,1601
2021-01-11,SVK,2501
2021-01-11,FIN,1252
2021-01-11,DNK,2582
2021-01-11,BGR,2965
2021-01-11,AUT,1446
2021-01-11,HUN,4518
2021-01-11,GRC,3149
